Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$Employee.browse#inject                  1.0           1           1         0.0           1
inspectionrecord$Employee.browse#load                   17.0          17          17         0.0           1
inspectionrecord$Employee.browse#ready                   0.0           0           0         0.0           1
inspectionrecord$Employee.browse#uiPermissions           0.0           0           0         0.0           1
inspectionrecord$Employee.browse#xml                     0.0           0           0         0.0           1
inspectionrecord$Employee.browse@employeesDs           136.0         136         136         0.0           1

Performance Statistics   2017-10-25 21:34:00 - 2017-10-25 21:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                  0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#inject                0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#load                 20.0          19          21         1.0           2
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#xml                   0.0           0           0         0.0           2
inspectionrecord$DefectType.browse@defectTypesDs       145.0         142         148         3.0           2
inspectionrecord$Employee.browse#init                    0.0           0           0         0.0           2
inspectionrecord$Employee.browse#inject                  0.0           0           0         0.0           2
inspectionrecord$Employee.browse#load                   20.5          18          23         2.5           2
inspectionrecord$Employee.browse#ready                   0.0           0           0         0.0           2
inspectionrecord$Employee.browse#uiPermissions           0.0           0           0         0.0           2
inspectionrecord$Employee.browse#xml                     0.0           0           0         0.0           2
inspectionrecord$Employee.browse@employeesDs           133.0         133         133         0.0           2
inspectionrecord$InspectionRecord.browse#init            0.0           0           0         0.0           3
inspectionrecord$InspectionRecord.browse#inject          0.0           0           0         0.0           3
inspectionrecord$InspectionRecord.browse#load           24.3          14          31         7.4           3
inspectionrecord$InspectionRecord.browse#ready           0.0           0           0         0.0           3
inspectionrecord$InspectionRecord.browse#uiPermissions         0.0           0           0         0.0           3
inspectionrecord$InspectionRecord.browse#xml             0.0           0           0         0.0           3
inspectionrecord$InspectionRecord.browse@inspectionRecordsDs        64.3           9         167        72.7           3

Performance Statistics   2017-10-25 21:36:00 - 2017-10-25 21:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           1
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           1
inspectionrecord$Department.browse#load                 12.0          12          12         0.0           1
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           1
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           1
