Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          54
QueryParser.getParamNames()                              0.0           0           0         0.0          87
QueryParser.hasIsNullCondition(..)                       0.0           0           1         0.2          43
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          35

Performance Statistics   2017-10-25 21:22:00 - 2017-10-25 21:23:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:23:00 - 2017-10-25 21:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           6
MenuItem.inspectionrecord$DefectType.browse            196.0         196         196         0.0           1
PersistenceSecurity.applyConstraints(..)                 0.1           0           1         0.3          13
QueryParser.getEntityAlias()                             0.0           0           0         0.0           7
QueryParser.getEntityName()                              0.0           0           0         0.0          30
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          17
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          17
QueryParser.getParamNames()                              0.0           0           0         0.0          30
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           9
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          13
ViewRepository.init.ViewRepositoryClientImpl            13.0          13          13         0.0           1
ViewRepository.init.ViewRepositoryImpl                   9.0           9           9         0.0           1

Performance Statistics   2017-10-25 21:24:00 - 2017-10-25 21:25:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           4
PersistenceSecurity.applyConstraints(..)                 0.6           0           5         1.5          10
QueryParser.getEntityAlias()                             0.0           0           0         0.0           5
QueryParser.getEntityName()                              0.0           0           0         0.0          26
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          16
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          16
QueryParser.getParamNames()                              0.0           0           0         0.0          26
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           8
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          12

Performance Statistics   2017-10-25 21:25:00 - 2017-10-25 21:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           4
PersistenceSecurity.applyConstraints(..)                 0.0           0           0         0.0          14
QueryParser.getEntityAlias()                             0.0           0           0         0.0           6
QueryParser.getEntityName()                              0.0           0           0         0.0          34
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          20
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          20
QueryParser.getParamNames()                              0.0           0           0         0.0          34
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0          10
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          14

